# Time, Detrended Flux
8.915251042687152221e+03,-3.227541247536436231e-03
8.915251624168646231e+03,-1.827064582490933731e-03
8.915252200441718742e+03,-2.027616390895103926e-03
8.915252773821172013e+03,-1.675987178384463760e-04
8.915253352987863764e+03,-2.976152518141983450e-03
8.915253933659107133e+03,-2.050438427483425308e-03
8.915254514909167483e+03,-3.700741487051795175e-03
8.915255095580410853e+03,3.299334246134710824e-03
8.915255671737999364e+03,-2.483274578432115298e-03
8.915256248821322515e+03,-2.262558120437518916e-03
8.915256827409197285e+03,-2.446840982152864719e-03
8.915257408080440655e+03,1.918669120875016176e-04
8.915257987825949385e+03,-4.809511996091475616e-03
8.915258570696511015e+03,-1.698813430678014491e-03
8.915259181576133415e+03,2.200998961794597975e-03
8.915259760858309164e+03,-2.683846271833600916e-03
8.915260338404499635e+03,1.702467975555954638e-03
8.915260916992374405e+03,-1.150385850046120595e-04
8.915261497664083436e+03,-4.604027781811570463e-04
8.915262078913678124e+03,-4.934545229063447280e-03
8.915262707964800938e+03,-1.987591313978076535e-03
8.915263284353823110e+03,3.307997144355034891e-04
8.915263859006394341e+03,2.821356349098413929e-03
8.915264441876955971e+03,3.944568931688596791e-04
8.915265023358449980e+03,-3.012103023434020699e-03
8.915265599515572831e+03,2.226090764773314135e-03
8.915266199631434574e+03,-8.386287029977790297e-04
8.915266775904507085e+03,2.717173300788022772e-03
8.915267361784171953e+03,-1.076107670630932489e-03
8.915267938867495104e+03,-5.726508838790334011e-04
8.915268518150136515e+03,-3.063929660063191562e-04
8.915269097895179584e+03,3.423367244637764983e-03
8.915269681691475853e+03,-1.153305430268147802e-06
8.915270257849064365e+03,7.178605798283665962e-04
8.915270833427835896e+03,-2.964067374983447856e-03
8.915271413404778286e+03,-3.612167033326008081e-03
8.915271994076021656e+03,1.467624046839866025e-03
8.915272576020382985e+03,-1.072347950011875994e-03
8.915273155302558735e+03,-9.265040599002460908e-04
8.915273730765846267e+03,-1.249364011790321527e-03
8.915274307154402777e+03,-2.940678478634994875e-03
8.915274884816542908e+03,-8.551274146579856961e-04
8.915275466876853898e+03,-6.926606821142988757e-03
8.915276049052648887e+03,-1.005542552420313207e-02
8.915276625904538378e+03,-1.703095090367034992e-03
8.915277203682628169e+03,-1.787114944860279664e-03
8.915277780765951320e+03,-1.021734593499523669e-03
8.915278354145404592e+03,6.424495589489875869e-04
8.915278936205715581e+03,-2.457594318892697416e-03
8.915279519075811550e+03,-2.233096704690296086e-03
8.915280099747054919e+03,-1.344538776609338626e-03
8.915280675210342451e+03,-2.108340334861624754e-03
8.915281248473846063e+03,-4.495897385020874992e-03
8.915281830650106713e+03,9.580558068034150665e-04
8.915282411321350082e+03,-3.424530494867905617e-03
8.915282992686894431e+03,-6.457643972920035225e-03
8.915283571853586182e+03,-2.771022760823971254e-03
8.915284146738056734e+03,-3.750181443973765738e-03
8.915284722895179584e+03,-8.367685401526880895e-04
8.915285302872121974e+03,-2.880751507204903916e-03
8.915285885742683604e+03,-3.186635325014730569e-03
8.915286463288874074e+03,-5.150582321552077403e-03
8.915287044770368084e+03,-4.023589485591116954e-05
8.915287655071173504e+03,2.056249342744509434e-03
8.915288236321233853e+03,-3.755316002861164293e-03
8.915288814793624624e+03,-5.610442388096492650e-03
8.915289396737985953e+03,-3.474748414741046787e-03
8.915289976020161703e+03,-2.430752696662930035e-03
8.915290556691870734e+03,-6.704473477536776471e-04
8.915291193497185304e+03,-4.567206765014764080e-03
8.915291768497139856e+03,-6.904665604783533084e-03
8.915292347663831606e+03,-5.437839183464299175e-03
8.915292926830523356e+03,-2.155733494807354766e-03
8.915293510279436305e+03,-5.562192713908231667e-04
8.915294083080538257e+03,-3.678370496473348794e-03
8.915294685279768601e+03,-6.768388351110488088e-04
8.915295260163773492e+03,-6.995946247177919908e-03
8.915295833427742764e+03,-7.630685121386981962e-04
8.915296414214935794e+03,-2.348261591172962071e-03
8.915296996274781122e+03,-5.976888555362602773e-03
8.915297576946490153e+03,-4.856872088976338375e-04
8.915298169075795158e+03,-3.611384310734266911e-03
8.915298745348867669e+03,2.073386183361503043e-03
8.915299320117388561e+03,-3.135352510749811472e-03
8.915299894307558134e+03,-1.533220526560685748e-03
8.915300468497262045e+03,-5.006301883020092269e-03
8.915301049052555754e+03,-3.260830054325869476e-03
8.915301641298276081e+03,-6.395504256460293746e-03
8.915302216182280972e+03,-4.173414930239371934e-03
8.915302790950801864e+03,1.112777937930520267e-04
8.915303374515664473e+03,-3.579522385685152130e-03
8.915303951598987624e+03,1.753869748883252200e-03
8.915304522664104297e+03,-1.717219569763450693e-03
8.915305114214592322e+03,3.622671927562493011e-03
8.915305689677879855e+03,8.429892518191373085e-05
8.915306264793318405e+03,7.191502309842334739e-04
8.915306847316496714e+03,-8.672495772688026960e-04
8.915307426830571785e+03,-1.921393400258430972e-03
8.915308006112747535e+03,-1.584292847978119312e-05
8.915308587710191205e+03,7.589410338286750601e-04
8.915309163173013076e+03,4.698341903048852686e-04
8.915309739562035247e+03,-2.451542157523856069e-03
8.915310318612777337e+03,2.791826363131910682e-03
8.915310900673088327e+03,2.022991666081885853e-03
8.915311481344331696e+03,4.635371060879300842e-04
8.915312063404642686e+03,-4.025999158487891805e-04
8.915312638983414217e+03,1.219994273558899778e-03
8.915313216992472007e+03,6.280009958155030603e-04
8.915313792918626859e+03,-1.672899670161598351e-03
8.915314370696250990e+03,2.256899029448922178e-03
8.915314951483444020e+03,-3.981405988902064763e-04
8.915315534816872969e+03,-1.962171391329481374e-03
8.915316111900196120e+03,9.875854738394806986e-04
8.915316687594451651e+03,1.919801996092651564e-03
8.915317263057273522e+03,-7.458827773663134764e-04
8.915317845811885491e+03,1.446421795590069337e-03
8.915318427293379500e+03,6.691921072699003048e-04
8.915319017224297568e+03,-3.972546569757429147e-03
8.915319592802603438e+03,-8.127266555073564547e-04
8.915320170464743569e+03,1.183317418566254275e-03
8.915320748242367699e+03,-3.294552612681855841e-03
8.915321328219310089e+03,-1.984242576346995079e-03
8.915321910858438059e+03,-1.681303158874491999e-03
8.915322491529681429e+03,4.347151892201139844e-04
8.915323100441884890e+03,-3.810281219471134406e-03
8.915323680186927959e+03,1.093361064055109466e-03
8.915324259469569370e+03,7.188660338413033202e-04
8.915324840024863079e+03,-2.970601837837705261e-03
8.915325421390873089e+03,-1.623113760334082833e-03
8.915325999168497219e+03,2.267744610733757327e-03
8.915326630649906292e+03,1.429220094545158304e-03
8.915327206228677824e+03,-2.643962309443415037e-03
8.915327781922933355e+03,5.470212315603628639e-04
8.915328363172993704e+03,-1.275346917053443718e-03
8.915328943844237074e+03,4.266399537785403595e-03
8.915329525904548063e+03,7.424296194709079089e-04
8.915330130997397646e+03,3.732427607536559222e-03
8.915330706691653177e+03,4.119125586480754109e-03
8.915331279955622449e+03,9.467700858523109275e-04
8.915332441992410168e+03,-1.005431762425290643e-03
8.915333021969352558e+03,-5.045195553023962276e-04
8.915333603219412907e+03,-3.509238778278689352e-04
8.915334178913668438e+03,1.093484333366312455e-03
8.915334755071256950e+03,-1.283131775823176390e-03
8.915335332154580101e+03,-4.072123272873540145e-04
8.915335914909192070e+03,3.308429981338623094e-03
8.918281419283877767e+03,1.905863138820240721e-04
8.918281995898745663e+03,-3.727381990198508355e-03
8.918282571703362919e+03,-1.335193313994120778e-03
8.918283146582245536e+03,3.136013886816169105e-03
8.918283721576612152e+03,1.058203110767985677e-03
8.918284297381229408e+03,-8.773302433024987579e-04
8.918284872607029683e+03,1.997792059534209130e-03
8.918285447138528980e+03,2.853443178347792042e-04
8.918286019586659677e+03,-2.656283363670519648e-03
8.918286602451167710e+03,1.726383503811268483e-03
8.918287177330050326e+03,2.744906381935585671e-03
8.918287752903233923e+03,-1.951453069863662293e-03
8.918288328360467858e+03,3.214493421097586179e-04
8.918288906479421712e+03,-3.001003797950763108e-03
8.918289484251457907e+03,2.741856923571539539e-03
8.918290057741272904e+03,-5.246674671117723676e-04
8.918290633430406160e+03,-2.332639299219563256e-03
8.918291209003589756e+03,-3.032794340999234173e-03
8.918291888742409355e+03,-1.235883607757504166e-03
8.918292488851751841e+03,-5.568759037378745447e-04
8.918293068939055956e+03,-8.421315776130366970e-04
8.918293645900841511e+03,4.222251697499013190e-03
8.918294221474025107e+03,5.677717454586339585e-04
8.918294795658141084e+03,-2.146771887704068682e-03
