Sp_ID,2MASS_ID,gaia,RA_1,DEC_1,,
Sp0457+3622,04571381+3622047,186276481137022208,74.3075669,36.3679807,,
Sp0500+0330,05002100+0330501,3238449635184620672,75.0875533,3.5139106,,
Sp0500+0442,05004808+0442143,3239389064789380992,75.2003902,4.7039981,,
Sp0503-2705,05034922-2705385,2958868635970761472,75.9549969,-27.0941447,,
Sp0505+0836,05053287+0836256,3290144853694962304,76.3870082,8.6071134,,
Sp0506-4956,05064372-4956343,4773243481010018560,76.68248,-49.9428667,,
Sp0508-1647,05084947-1647167,2982936979862487680,77.2060484,-16.7881117,,
Sp0508+3319,05085506+3319272,181724125038647040,77.2292291,33.324193,,
Sp0510+2714,05102012+2714032,3421840993510952192,77.5835881,27.2338531,,
Sp0511-4606,05110163-4606015,4798435044748833280,77.7568786,-46.1003873,,
Sp0511-4618,05114207-4618008,4798428211455368320,77.9258169,-46.3001958,,
Sp0512-2617,05123957-2617137,2956345699166180608,78.164918,-26.2871559,,
Sp0515+6424,05150962+6424544,478476094265728896,78.7909034,64.415003,,
Sp0516+5640,05165345+5640195,279844370905734144,79.2233092,56.6720048,,
Sp0517-3349,05173766-3349027,4825880783419986432,79.4074682,-33.8175201,,
Sp0517-2816,05175844-2816084,2954622425142243840,79.4937583,-28.2690598,,
Sp0518+2435,05182746+2435540,3417442500322067712,79.6142882,24.5978987,,
Sp0520+7626,05200951+7626523,503816916707209984,80.0396265,76.4479438,,
Sp0522-0002,05220707-0002384,3221419123485965824,80.5294971,-0.0440424,,
Sp0522+3534,05220819+3534089,183740006593245568,80.5341852,35.5690741,,
Sp0522+5754,05220976+5754046,280225450466067968,80.5405162,57.9012715,,
Sp0522+0518,05224982+0518541,3237429357111143296,80.707643,5.3150507,,
Sp0523-1403,05233822-1403022,2985035874544160384,80.9092803,-14.050558,,
Sp0523+4623,05234758+4623232,209212907873065344,80.9479985,46.3897876,,
Sp0525+2102,05251524+2102394,3402351217901366528,81.3137239,21.0443275,,
Sp0526-5026,05265973-5026216,4796425760263724800,81.7490053,-50.4393487,,
Sp0528+4712,05283610+4712028,209364885290255616,82.1502125,47.2007759,,
Sp0529-2002,05295732-2002585,2968530216441919488,82.4888254,-20.049655,,
Sp0530+1503,05302948+1503368,3390022703255507328,82.6229445,15.0601578,,
Sp0531+0215,05312762+0215496,3223589696879068416,82.8651072,2.2637921,,
Sp0532-8157,05320626-8157370,4621347706273795584,83.0310815,-81.9602958,,
Sp0532+0418,05325710+0418471,3236465703888892032,83.2379526,4.3130975,,
Sp0533+3740,05331650+3740280,190314025273114752,83.3189795,37.6742066,,
Sp0533+0323,05333241+0323174,3224368700870633856,83.385032,3.3881897,,
Sp0533+5054,05335379+5054170,215350076836032384,83.4736931,50.9047852,,
Sp0534-1511,05345844-1511439,2972230554107163264,83.743519,-15.1955246,,
Sp0535-0931,05352131-0931067,3013672487388307456,83.8387525,-9.5184787,,
Sp0537-0816,05372332-0816055,3015584160150844416,84.3471777,-8.2684425,,
Sp0539-4708,05390417-4708060,4795695444025222272,84.7675009,-47.1350207,,
Sp0539+4038,05392474+4038437,191109281417914880,84.8542398,40.6452329,,
Sp0539+4712,05392637+4712565,210582521403691520,84.8599184,47.215688,,
Sp0539+5253,05394952+5253597,263696736978069120,84.9563542,52.8999444,,
Sp0539-0059,05395200-0059019,3217523558083415040,84.966682,-0.9837428,,
Sp0544-2433,05441150-2433018,2915187925218983296,86.0480911,-24.5506977,,
Sp0544-1109,05441848-1109112,3009506437830715136,86.0770894,-11.1530458,,
Sp0544-1309,05443931-1309384,2996961766070000768,86.1638269,-13.1606618,,
Sp0544+0639,05445543+0639438,3333278694852547328,86.2309856,6.6621523,,
Sp0552-6452,05522762-6452213,4756028878427600384,88.1144908,-64.8725564,,
Sp0552-0002,05523129-0002124,3218721677865937664,88.130442,-0.0367879,,
Sp0555-5402,05551490-5402520,4767876769050721920,88.8123696,-54.047793,,
Sp0555+1608,05552505+1608416,3349592221888644352,88.8543675,16.144855,,
Sp0556+0802,05560844+0802376,3323397147633734016,89.0351758,8.0437884,,
Sp0556-3832,05564696-3832479,2883680659313632896,89.1957308,-38.5466302,,
Sp0557+1708,05571910+1708279,3349802297332186496,89.3297085,17.1409934,,
Sp0601+1115,06012014+1115193,3342133409883692800,90.3339111,11.2553498,,
Sp0602+3910,06023045+3910592,3457493517036545280,90.6271444,39.1829407,,
Sp0603-8127,06034353-8127303,5207639982316987648,90.9342057,-81.4584324,,
Sp0604+3322,06042311+3322279,3450819618893754240,91.0963529,33.3743844,,
Sp0604+2219,06044179+2219292,3423743487932697472,91.174215,22.3247725,,
Sp0604+2906,06044567+2906390,3437445537412996480,91.1903217,29.1106307,,
Sp0605-2342,06050196-2342270,2913249451860183168,91.2581251,-23.7074695,,
Sp0607+2429,06073908+2429574,3426333598021539840,91.9123904,24.4991161,,
Sp0607+4550,06074202+4550435,963292964707774080,91.9253592,45.8452651,,
Sp0608+1041,06082257+1041482,3330163748346394368,92.0940419,10.6967398,,
Sp0609-3739,06094001-3739296,2884660122311937536,92.4168238,-37.6582462,,
